"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web CMS Testing","11.0.0 CMS Notifications","11.2.0 Mark Notification as Read","0","0","1","0","0"
"Web CMS Testing","12.0.0 CMS Communities","12.6.0 Pin/Unpin Community Posts","0","27","0","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.7.0 Upload Video - Unpublished Status","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.11.0 Reply To Program Step Thread","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.7.0 Mark Single Notification Read/Unread","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.1.0 Verify Notifications Page Load","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.9.0 Access Comment From Notification","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.9.0 Popular / Nutrition tags","0","0","2","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.10.0 Reply To Comment","0","0","1","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.2.0 View All Videos Uploaded","0","0","2","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.5.0 User with the admin role can reset password from the CMS login page","0","0","1","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.12.0 Upload Video Thumbnail","0","0","1","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.3.0 User with the admin role, can log out from the CMS","0","0","1","0","0"
"Web CMS Testing","12.0.0 CMS Communities","12.1.0 View All Communities","0","27","0","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.3.0 Search Videos","0","0","2","0","0"
"Web CMS Testing","12.0.0 CMS Communities","12.2.0 Create Post in Community","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.1.0 Navigate to Programs Section","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.8.0 Notification Status After Page Reload","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.6.0 Delete Program","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.5.0 Mark Notification as Unread","0","0","1","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.10.0 Delete Video","0","0","1","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.8.0 Update Video Details","0","27","0","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.9.0 Publish Video","0","0","1","0","0"
"Web CMS Testing","12.0.0 CMS Communities","12.4.0 Delete/Edit Posts and Comments","0","0","1","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.4.0 User with the admin role, can have access to profile page and edit profile information","0","0","1","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.2.0 User with the admin role, can login to content management platform with the same credentials as for the mob app","0","0","1","0","0"
"Web CMS Testing","8.0.0 CMS Video Management","8.1.0 Navigate to Video Section","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.8.0 Create/Edit Program","0","27","0","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.2.0 View Programs List","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.12.0 Close Comments View","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.13.0 Delete From Three Dots Menu","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.4.0 Verify Unread Notifications","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.3.0 Switch Between Tabs","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.14.0 Delete From Comment Thread","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.6.0 Mark Multiple Notifications as Read","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.3.0 Search Programs","0","0","1","0","0"
